PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
307,1,1,"Fleming, Miss. Margaret",female,NA,0,0,17421,110.8833,,C
92,0,3,"Andreasson, Mr. Paul Edvin",male,20,0,0,347466,7.8542,,S
68,0,3,"Crease, Mr. Ernest James",male,19,0,0,S.P. 3464,8.1583,,S
137,1,1,"Newsom, Miss. Helen Monypeny",female,19,0,2,11752,26.2833,D47,S
76,0,3,"Moen, Mr. Sigurd Hansen",male,25,0,0,348123,7.65,F G73,S
946,NA,2,"Mangiavacchi, Mr. Serafino Emilio",male,NA,0,0,SC/A.3 2861,15.5792,,C
649,0,3,"Willey, Mr. Edward",male,NA,0,0,S.O./P.P. 751,7.55,,S
993,NA,2,"Weisz, Mr. Leopold",male,27,1,0,228414,26,,S
877,0,3,"Gustafsson, Mr. Alfred Ossian",male,20,0,0,7534,9.8458,,S
231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,0,36973,83.475,C83,S
545,0,1,"Douglas, Mr. Walter Donald",male,50,1,0,PC 17761,106.425,C86,C
950,NA,3,"Davison, Mr. Thomas Henry",male,NA,1,0,386525,16.1,,S
937,NA,3,"Peltomaki, Mr. Nikolai Johannes",male,25,0,0,STON/O 2. 3101291,7.925,,S
1019,NA,3,"McCoy, Miss. Alicia",female,NA,2,0,367226,23.25,,Q
179,0,2,"Hale, Mr. Reginald",male,30,0,0,250653,13,,S
1250,NA,3,"O'Keefe, Mr. Patrick",male,NA,0,0,368402,7.75,,Q
24,1,1,"Sloper, Mr. William Thompson",male,28,0,0,113788,35.5,A6,S
1153,NA,3,"Nilsson, Mr. August Ferdinand",male,21,0,0,350410,7.8542,,S
175,0,1,"Smith, Mr. James Clinch",male,56,0,0,17764,30.6958,A7,C
776,0,3,"Myhrman, Mr. Pehr Fabian Oliver Malkolm",male,18,0,0,347078,7.75,,S
293,0,2,"Levy, Mr. Rene Jacques",male,36,0,0,SC/Paris 2163,12.875,D,C
426,0,3,"Wiseman, Mr. Phillippe",male,NA,0,0,A/4. 34244,7.25,,S
911,NA,3,"Assaf Khalil, Mrs. Mariana (Miriam"")""",female,45,0,0,2696,7.225,,C
335,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,NA,1,0,PC 17611,133.65,,S
764,1,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,36,1,2,113760,120,B96 B98,S
129,1,3,"Peter, Miss. Anna",female,NA,1,1,2668,22.3583,F E69,C
1268,NA,3,"Kink, Miss. Maria",female,22,2,0,315152,8.6625,,S
1037,NA,3,"Vander Planke, Mr. Julius",male,31,3,0,345763,18,,S
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9,4,2,347077,31.3875,,S
592,1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",female,52,1,0,36947,78.2667,D20,C
234,1,3,"Asplund, Miss. Lillian Gertrud",female,5,4,2,347077,31.3875,,S
1296,NA,1,"Frauenthal, Mr. Isaac Gerald",male,43,1,0,17765,27.7208,D40,C
658,0,3,"Bourke, Mrs. John (Catherine)",female,32,1,1,364849,15.5,,Q
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2,4,2,347082,31.275,,S
686,0,2,"Laroche, Mr. Joseph Philippe Lemercier",male,25,1,2,SC/Paris 2123,41.5792,,C
729,0,2,"Bryhl, Mr. Kurt Arnold Gottfrid",male,25,1,0,236853,26,,S
273,1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41,0,1,250644,19.5,,S
272,1,3,"Tornquist, Mr. William Henry",male,25,0,0,LINE,0,,S
376,1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,NA,1,0,PC 17604,82.1708,,C
905,NA,2,"Howard, Mr. Benjamin",male,63,1,0,24065,26,,S
