PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
70,0,3,"Kink, Mr. Vincenz",male,26,2,0,315151,8.6625,,S
810,1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,33,1,0,113806,53.1,E8,S
954,NA,3,"Bjorklund, Mr. Ernst Herbert",male,18,0,0,347090,7.75,,S
905,NA,2,"Howard, Mr. Benjamin",male,63,1,0,24065,26,,S
774,0,3,"Elias, Mr. Dibo",male,NA,0,0,2674,7.225,,C
931,NA,3,"Hee, Mr. Ling",male,NA,0,0,1601,56.4958,,S
923,NA,2,"Jefferys, Mr. Clifford Thomas",male,24,2,0,C.A. 31029,31.5,,S
1088,NA,1,"Spedden, Master. Robert Douglas",male,6,0,2,16966,134.5,E34,C
1021,NA,3,"Petersen, Mr. Marius",male,24,0,0,342441,8.05,,S
399,0,2,"Pain, Dr. Alfred",male,23,0,0,244278,10.5,,S
1135,NA,3,"Hyman, Mr. Abraham",male,NA,0,0,3470,7.8875,,S
785,0,3,"Ali, Mr. William",male,25,0,0,SOTON/O.Q. 3101312,7.05,,S
631,1,1,"Barkworth, Mr. Algernon Henry Wilson",male,80,0,0,27042,30,A23,S
1193,NA,2,"Malachard, Mr. Noel",male,NA,0,0,237735,15.0458,D,C
1136,NA,3,"Johnston, Master. William Arthur Willie""""",male,NA,1,2,W./C. 6607,23.45,,S
1089,NA,3,"Nilsson, Miss. Berta Olivia",female,18,0,0,347066,7.775,,S
520,0,3,"Pavlovic, Mr. Stefo",male,32,0,0,349242,7.8958,,S
1163,NA,3,"Fox, Mr. Patrick",male,NA,0,0,368573,7.75,,Q
1062,NA,3,"Lithman, Mr. Simon",male,NA,0,0,S.O./P.P. 251,7.55,,S
1035,NA,2,"Beauchamp, Mr. Henry James",male,28,0,0,244358,26,,S
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,0,A/5. 3337,14.5,,S
526,0,3,"Farrell, Mr. James",male,40.5,0,0,367232,7.75,,Q
832,1,2,"Richards, Master. George Sibley",male,0.83,1,1,29106,18.75,,S
1024,NA,3,"Lefebre, Mrs. Frank (Frances)",female,NA,0,4,4133,25.4667,,S
35,0,1,"Meyer, Mr. Edgar Joseph",male,28,1,0,PC 17604,82.1708,,C
1172,NA,3,"Oreskovic, Miss. Jelka",female,23,0,0,315085,8.6625,,S
1103,NA,3,"Finoli, Mr. Luigi",male,NA,0,0,SOTON/O.Q. 3101308,7.05,,S
425,0,3,"Rosblom, Mr. Viktor Richard",male,18,1,1,370129,20.2125,,S
825,0,3,"Panula, Master. Urho Abraham",male,2,4,1,3101295,39.6875,,S
43,0,3,"Kraeff, Mr. Theodor",male,NA,0,0,349253,7.8958,,C
441,1,2,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,45,1,1,F.C.C. 13529,26.25,,S
805,1,3,"Hedman, Mr. Oskar Arvid",male,27,0,0,347089,6.975,,S
319,1,1,"Wick, Miss. Mary Natalie",female,31,0,2,36928,164.8667,C7,S
555,1,3,"Ohman, Miss. Velin",female,22,0,0,347085,7.775,,S
518,0,3,"Ryan, Mr. Patrick",male,NA,0,0,371110,24.15,,Q
1017,NA,3,"Cribb, Miss. Laura Alice",female,17,0,1,371362,16.1,,S
981,NA,2,"Wells, Master. Ralph Lester",male,2,1,1,29103,23,,S
1074,NA,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",female,18,1,0,113773,53.1,D30,S
922,NA,2,"Louch, Mr. Charles Alexander",male,50,1,0,SC/AH 3085,26,,S
548,1,2,"Padro y Manent, Mr. Julian",male,NA,0,0,SC/PARIS 2146,13.8625,,C
670,1,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",female,NA,1,0,19996,52,C126,S
691,1,1,"Dick, Mr. Albert Adrian",male,31,1,0,17474,57,B20,S
570,1,3,"Jonsson, Mr. Carl",male,32,0,0,350417,7.8542,,S
775,1,2,"Hocking, Mrs. Elizabeth (Eliza Needs)",female,54,1,3,29105,23,,S
969,NA,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",female,55,2,0,11770,25.7,C101,S
975,NA,3,"Demetri, Mr. Marinko",male,NA,0,0,349238,7.8958,,S
1170,NA,2,"Ware, Mr. John James",male,30,1,0,CA 31352,21,,S
116,0,3,"Pekoniemi, Mr. Edvard",male,21,0,0,STON/O 2. 3101294,7.925,,S
113,0,3,"Barton, Mr. David John",male,22,0,0,324669,8.05,,S
1266,NA,1,"Dodge, Mrs. Washington (Ruth Vidaver)",female,54,1,1,33638,81.8583,A34,S
1055,NA,3,"Pearce, Mr. Ernest",male,NA,0,0,343271,7,,S
337,0,1,"Pears, Mr. Thomas Clinton",male,29,1,0,113776,66.6,C2,S
251,0,3,"Reed, Mr. James George",male,NA,0,0,362316,7.25,,S
392,1,3,"Jansson, Mr. Carl Olof",male,21,0,0,350034,7.7958,,S
1271,NA,3,"Asplund, Master. Carl Edgar",male,5,4,2,347077,31.3875,,S
1108,NA,3,"Mahon, Miss. Bridget Delia",female,NA,0,0,330924,7.8792,,Q
838,0,3,"Sirota, Mr. Maurice",male,NA,0,0,392092,8.05,,S
13,0,3,"Saundercock, Mr. William Henry",male,20,0,0,A/5. 2151,8.05,,S
500,0,3,"Svensson, Mr. Olof",male,24,0,0,350035,7.7958,,S
745,1,3,"Stranden, Mr. Juho",male,31,0,0,STON/O 2. 3101288,7.925,,S
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0,343120,7.65,,S
814,0,3,"Andersson, Miss. Ebba Iris Alfrida",female,6,4,2,347082,31.275,,S
591,0,3,"Rintamaki, Mr. Matti",male,35,0,0,STON/O 2. 3101273,7.125,,S
360,1,3,"Mockler, Miss. Helen Mary ""Ellie""",female,NA,0,0,330980,7.8792,,Q
797,1,1,"Leader, Dr. Alice (Farnham)",female,49,0,0,17465,25.9292,D17,S
1246,NA,3,"Dean, Miss. Elizabeth Gladys Millvina""""",female,0.17,1,2,C.A. 2315,20.575,,S
1077,NA,2,"Maybery, Mr. Frank Hubert",male,40,0,0,239059,16,,S
606,0,3,"Lindell, Mr. Edvard Bengtsson",male,36,1,0,349910,15.55,,S
1190,NA,1,"Loring, Mr. Joseph Holland",male,30,0,0,113801,45.5,,S
1242,NA,1,"Greenfield, Mrs. Leo David (Blanche Strouse)",female,45,0,1,PC 17759,63.3583,D10 D12,C
835,0,3,"Allum, Mr. Owen George",male,18,0,0,2223,8.3,,S
1030,NA,3,"Drapkin, Miss. Jennie",female,23,0,0,SOTON/OQ 392083,8.05,,S
477,0,2,"Renouf, Mr. Peter Henry",male,34,1,0,31027,21,,S
1292,NA,1,"Bonnell, Miss. Caroline",female,30,0,0,36928,164.8667,C7,S
1177,NA,3,"Dennis, Mr. William",male,36,0,0,A/5 21175,7.25,,S
383,0,3,"Tikkanen, Mr. Juho",male,32,0,0,STON/O 2. 3101293,7.925,,S
756,1,2,"Hamalainen, Master. Viljo",male,0.67,1,1,250649,14.5,,S
75,1,3,"Bing, Mr. Lee",male,32,0,0,1601,56.4958,,S
1096,NA,2,"Andrew, Mr. Frank Thomas",male,25,0,0,C.A. 34050,10.5,,S
467,0,2,"Campbell, Mr. William",male,NA,0,0,239853,0,,S
265,0,3,"Henry, Miss. Delia",female,NA,0,0,382649,7.75,,Q
839,1,3,"Chip, Mr. Chang",male,32,0,0,1601,56.4958,,S
344,0,2,"Sedgwick, Mr. Charles Frederick Waddington",male,25,0,0,244361,13,,S
22,1,2,"Beesley, Mr. Lawrence",male,34,0,0,248698,13,D56,S
799,0,3,"Ibrahim Shawah, Mr. Yousseff",male,30,0,0,2685,7.2292,,C
426,0,3,"Wiseman, Mr. Phillippe",male,NA,0,0,A/4. 34244,7.25,,S
225,1,1,"Hoyt, Mr. Frederick Maxfield",male,38,1,0,19943,90,C93,S
424,0,3,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,28,1,1,347080,14.4,,S
939,NA,3,"Shaughnessy, Mr. Patrick",male,NA,0,0,370374,7.75,,Q
38,0,3,"Cann, Mr. Ernest Charles",male,21,0,0,A./5. 2152,8.05,,S
199,1,3,"Madigan, Miss. Margaret ""Maggie""",female,NA,0,0,370370,7.75,,Q
486,0,3,"Lefebre, Miss. Jeannie",female,NA,3,1,4133,25.4667,,S
366,0,3,"Adahl, Mr. Mauritz Nils Martin",male,30,0,0,C 7076,7.25,,S
1109,NA,1,"Wick, Mr. George Dennick",male,57,1,1,36928,164.8667,,S
743,1,1,"Ryerson, Miss. Susan Parker ""Suzette""",female,21,2,2,PC 17608,262.375,B57 B59 B63 B66,C
1208,NA,1,"Spencer, Mr. William Augustus",male,57,1,0,PC 17569,146.5208,B78,C
1282,NA,1,"Payne, Mr. Vivian Ponsonby",male,23,0,0,12749,93.5,B24,S
1069,NA,1,"Stengel, Mr. Charles Emil Henry",male,54,1,0,11778,55.4417,C116,C
1183,NA,3,"Daly, Miss. Margaret Marcella Maggie""""",female,30,0,0,382650,6.95,,Q
498,0,3,"Shellard, Mr. Frederick William",male,NA,0,0,C.A. 6212,15.1,,S
674,1,2,"Wilhelms, Mr. Charles",male,31,0,0,244270,13,,S
783,0,1,"Long, Mr. Milton Clyde",male,29,0,0,113501,30,D6,S
1082,NA,2,"Angle, Mr. William A",male,34,1,0,226875,26,,S
135,0,2,"Sobey, Mr. Samuel James Hayden",male,25,0,0,C.A. 29178,13,,S
1139,NA,2,"Drew, Mr. James Vivian",male,42,1,1,28220,32.5,,S
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29,0,0,345779,9.5,,S
655,0,3,"Hegarty, Miss. Hanora ""Nora""",female,18,0,0,365226,6.75,,Q
693,1,3,"Lam, Mr. Ali",male,NA,0,0,1601,56.4958,,S
574,1,3,"Kelly, Miss. Mary",female,NA,0,0,14312,7.75,,Q
169,0,1,"Baumann, Mr. John D",male,NA,0,0,PC 17318,25.925,,S
811,0,3,"Alexander, Mr. William",male,26,0,0,3474,7.8875,,S
1297,NA,2,"Nourney, Mr. Alfred (Baron von Drachstedt"")""",male,20,0,0,SC/PARIS 2166,13.8625,D38,C
1063,NA,3,"Zakarian, Mr. Ortin",male,27,0,0,2670,7.225,,C
560,1,3,"de Messemaeker, Mrs. Guillaume Joseph (Emma)",female,36,1,0,345572,17.4,,S
627,0,2,"Kirkland, Rev. Charles Leonard",male,57,0,0,219533,12.35,,Q
317,1,2,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24,1,0,244367,26,,S
982,NA,3,"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",female,22,1,0,347072,13.9,,S
884,0,2,"Banfield, Mr. Frederick James",male,28,0,0,C.A./SOTON 34068,10.5,,S
33,1,3,"Glynn, Miss. Mary Agatha",female,NA,0,0,335677,7.75,,Q
27,0,3,"Emir, Mr. Farred Chehab",male,NA,0,0,2631,7.225,,C
978,NA,3,"Barry, Miss. Julia",female,27,0,0,330844,7.8792,,Q
777,0,3,"Tobin, Mr. Roger",male,NA,0,0,383121,7.75,F38,Q
497,1,1,"Eustis, Miss. Elizabeth Mussey",female,54,1,0,36947,78.2667,D20,C
436,1,1,"Carter, Miss. Lucile Polk",female,14,1,2,113760,120,B96 B98,S
267,0,3,"Panula, Mr. Ernesti Arvid",male,16,4,1,3101295,39.6875,,S
97,0,1,"Goldschmidt, Mr. George B",male,71,0,0,PC 17754,34.6542,A5,C
1039,NA,3,"Davies, Mr. Evan",male,22,0,0,SC/A4 23568,8.05,,S
698,1,3,"Mullens, Miss. Katherine ""Katie""",female,NA,0,0,35852,7.7333,,Q
946,NA,2,"Mangiavacchi, Mr. Serafino Emilio",male,NA,0,0,SC/A.3 2861,15.5792,,C
716,0,3,"Soholt, Mr. Peter Andreas Lauritz Andersen",male,19,0,0,348124,7.65,F G73,S
456,1,3,"Jalsevac, Mr. Ivan",male,29,0,0,349240,7.8958,,C
287,1,3,"de Mulder, Mr. Theodore",male,30,0,0,345774,9.5,,S
335,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,NA,1,0,PC 17611,133.65,,S
340,0,1,"Blackwell, Mr. Stephen Weart",male,45,0,0,113784,35.5,T,S
1001,NA,2,"Swane, Mr. George",male,18.5,0,0,248734,13,F,S
653,0,3,"Kalvik, Mr. Johannes Halvorsen",male,21,0,0,8475,8.4333,,S
1126,NA,1,"Cumings, Mr. John Bradley",male,39,1,0,PC 17599,71.2833,C85,C
1263,NA,1,"Wilson, Miss. Helen Alice",female,31,0,0,16966,134.5,E39 E41,C
715,0,2,"Greenberg, Mr. Samuel",male,52,0,0,250647,13,,S
203,0,3,"Johanson, Mr. Jakob Alfred",male,34,0,0,3101264,6.4958,,S
172,0,3,"Rice, Master. Arthur",male,4,4,1,382652,29.125,,Q
524,1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,44,0,1,111361,57.9792,B18,C
